varname,description
pct_gaze_center_1_happy,"Dot Probe: percent gaze toward center, happy"
mean_gaze_toward_1_happy,Dot Probe: mean gaze toward happy stimuli
mean_gaze_away_1_happy,Dot Probe: mean gaze away from happy stimuli
var_gaze_bias_1_happy,Dot Probe: variability in bias for happy stimuli
dp_gaze_cor_1_happy,Dot Probe: correlation between TLBS and gaze for happy stimuli
suicidal_ideation,presence of suicidal ideation (yes/no)
neg_dilation_mean,Pupil Dilation: late-stage average dilation across negative trials
neu_dilation_mean,Pupil Dilation: late-stage average dilation across neutral trials
pos_dilation_mean,Pupil Dilation: late-stage average dilation across positive trials
neg_ratio,Pupil Dilation: late-stage average ratio of max to min dilation for negative stimuli
neu_ratio,Pupil Dilation: late-stage average ratio of max to min dilation for neutral stimuli
pos_ratio,Pupil Dilation: late-stage average ratio of max to min dilation for positive stimuli
neg_dilation_peak,Pupil Dilation: late-stage average peak dilation for negative trials
neu_dilation_peak,Pupil Dilation: late-stage average peak dilation for neutral trials
pos_dilation_peak,Pupil Dilation: late-stage average peak dilation for positive trials
neg_pupil_bias_mean,Pupil Dilation: late-stage mean dilation for negative stimuli - mean dilation for neutral stimuli
pos_pupil_bias_mean,Pupil Dilation: late-stage mean dilation for positive stimuli - mean dilation for neutral stimuli
neg_pupil_bias_peak,Pupil Dilation: late-stage peak dilation for negative stimuli - peak dilation for neutral stimuli
pos_pupil_bias_peak,Pupil Dilation: late-stage peak dilation for positive stimuli - peak dilation for neutral stimuli
neg_dilation_total_peak,Pupil Dilation: total time series average peak dilation across negative trialsÊ
neu_dilation_total_peak,Pupil Dilation: total time series average peak dilation across neutral trials
pos_dilation_total_peak,Pupil Dilation: total time series average peak dilation across positive trials
